Time_s_Ex	Time_s_Rt	Defl_nm_Ex	Defl_nm_Rt	Defl_pN_Ex	Defl_pN_Rt	Defl_nm_Ex	Defl_nm_Rt	Defl_pN_Ex	Defl_pN_Rt	
1.203958e-001	6.057732e-001	-4.824697e+000	-4.900379e+000	-2.389031e+002	-2.426506e+002	-4.824697e+000	-4.900379e+000	-2.389031e+002	-2.426506e+002	
1.213438e-001	6.067212e-001	-4.805777e+000	-4.824697e+000	-2.379662e+002	-2.389031e+002	-4.805777e+000	-4.824697e+000	-2.379662e+002	-2.389031e+002	
1.222918e-001	6.076692e-001	-4.881458e+000	-4.957139e+000	-2.417137e+002	-2.454612e+002	-4.881458e+000	-4.957139e+000	-2.417137e+002	-2.454612e+002	
1.232398e-001	6.086172e-001	-5.051742e+000	-5.297707e+000	-2.501456e+002	-2.623250e+002	-5.051742e+000	-5.297707e+000	-2.501456e+002	-2.623250e+002	
1.241878e-001	6.095652e-001	-4.919299e+000	-5.051742e+000	-2.435874e+002	-2.501456e+002	-4.919299e+000	-5.051742e+000	-2.435874e+002	-2.501456e+002	
1.251358e-001	6.105132e-001	-4.843617e+000	-4.749015e+000	-2.398400e+002	-2.351556e+002	-4.843617e+000	-4.749015e+000	-2.398400e+002	-2.351556e+002	
1.260838e-001	6.114612e-001	-5.051742e+000	-4.843617e+000	-2.501456e+002	-2.398400e+002	-5.051742e+000	-4.843617e+000	-2.501456e+002	-2.398400e+002	
1.270318e-001	6.124092e-001	-5.108503e+000	-5.165264e+000	-2.529562e+002	-2.557668e+002	-5.108503e+000	-5.165264e+000	-2.529562e+002	-2.557668e+002	
1.279798e-001	6.133572e-001	-4.862538e+000	-4.994980e+000	-2.407768e+002	-2.473349e+002	-4.862538e+000	-4.994980e+000	-2.407768e+002	-2.473349e+002	
1.289278e-001	6.143053e-001	-4.994980e+000	-5.127423e+000	-2.473349e+002	-2.538931e+002	-4.994980e+000	-5.127423e+000	-2.473349e+002	-2.538931e+002	
1.298758e-001	6.152533e-001	-4.843617e+000	-5.222025e+000	-2.398400e+002	-2.585775e+002	-4.843617e+000	-5.222025e+000	-2.398400e+002	-2.585775e+002	
1.308238e-001	6.162013e-001	-4.824697e+000	-5.070662e+000	-2.389031e+002	-2.510824e+002	-4.824697e+000	-5.070662e+000	-2.389031e+002	-2.510824e+002	
1.317718e-001	6.171493e-001	-5.316627e+000	-4.805777e+000	-2.632618e+002	-2.379662e+002	-5.316627e+000	-4.805777e+000	-2.632618e+002	-2.379662e+002	
1.327198e-001	6.180973e-001	-4.976060e+000	-4.938220e+000	-2.463981e+002	-2.445243e+002	-4.976060e+000	-4.938220e+000	-2.463981e+002	-2.445243e+002	
1.336678e-001	6.190453e-001	-4.919299e+000	-4.711175e+000	-2.435874e+002	-2.332818e+002	-4.919299e+000	-4.711175e+000	-2.435874e+002	-2.332818e+002	
1.346158e-001	6.199933e-001	-4.824697e+000	-5.032821e+000	-2.389031e+002	-2.492087e+002	-4.824697e+000	-5.032821e+000	-2.389031e+002	-2.492087e+002	
1.355638e-001	6.209413e-001	-4.994980e+000	-4.843617e+000	-2.473349e+002	-2.398400e+002	-4.994980e+000	-4.843617e+000	-2.473349e+002	-2.398400e+002	
1.365118e-001	6.218894e-001	-5.089582e+000	-4.957139e+000	-2.520193e+002	-2.454612e+002	-5.089582e+000	-4.957139e+000	-2.520193e+002	-2.454612e+002	
1.374598e-001	6.228374e-001	-4.976060e+000	-5.222025e+000	-2.463981e+002	-2.585775e+002	-4.976060e+000	-5.222025e+000	-2.463981e+002	-2.585775e+002	
1.384078e-001	6.237854e-001	-4.881458e+000	-4.824697e+000	-2.417137e+002	-2.389031e+002	-4.881458e+000	-4.824697e+000	-2.417137e+002	-2.389031e+002	
1.393557e-001	6.247334e-001	-5.013901e+000	-4.919299e+000	-2.482718e+002	-2.435874e+002	-5.013901e+000	-4.919299e+000	-2.482718e+002	-2.435874e+002	
1.403037e-001	6.256814e-001	-5.013901e+000	-4.919299e+000	-2.482718e+002	-2.435874e+002	-5.013901e+000	-4.919299e+000	-2.482718e+002	-2.435874e+002	
1.412517e-001	6.266294e-001	-5.070662e+000	-4.843617e+000	-2.510824e+002	-2.398400e+002	-5.070662e+000	-4.843617e+000	-2.510824e+002	-2.398400e+002	
